model,split,accuracy,precision,recall,f1,balanced_accuracy,specificity,roc_auc,average_precision,log_loss
mlp_classifier,test,0.8116936346140138,0.8033463941544001,0.8199899113641277,0.811582832587415,0.8117825588130136,0.8035752062618997,0.895791257650799,0.8937238502821163,0.40678986542858425
hist_gradient_boosting,test,0.8070069142490556,0.8046295629634963,0.8053253585068819,0.804977310379601,0.8069888903810061,0.8086524222551301,0.8905119172957683,0.8874288155568986,0.4206193269849827
logistic_regression,test,0.8069712737900064,0.8041555827162269,0.8060099445125027,0.8050816958180379,0.8069609697176434,0.807911994922784,0.8709876204062411,0.8553166389335363,0.47800030005649213
random_forest,test,0.7468992800627272,0.7433990731759887,0.7456222526482669,0.7445090032559227,0.7468855921587008,0.7481489316691348,0.8397258770664447,0.8390107416807846,0.5509280195003322
dummy_majority,test,0.4945826502245349,0.4945826502245349,1.0,0.6618337903898891,0.5,0.0,0.5,0.4945826502245349,6.982599226569623
mlp_classifier,train,0.8190927049778426,0.8153045778017504,0.8282749721598642,0.8217385967065921,0.8190295208438422,0.8097840695278201,0.9041176398704442,0.9056047070492577,0.39076048886012565
random_forest,train,0.7945371869938956,0.7949074767260589,0.797668499107348,0.7962855945474998,0.7945156401100758,0.7913627811128036,0.8986737396648836,0.9042691088889009,0.5113813117941745
hist_gradient_boosting,train,0.8128548292370393,0.8132999541624061,0.8154419952981105,0.8143695661767951,0.812837026678712,0.8102320580593136,0.8962059885872828,0.896385135999512,0.41179509284723914
logistic_regression,train,0.806278809019559,0.8070401411557124,0.808495218567161,0.8077670245832156,0.8062635576753017,0.8040318967834423,0.8702177767490629,0.8587606315148256,0.47788594570952203
dummy_majority,train,0.503417038922209,0.503417038922209,1.0,0.6696971311208575,0.5,0.0,0.5,0.503417038922209,6.8605476450783955
