model,split,accuracy,precision,recall,f1,balanced_accuracy,specificity,roc_auc,average_precision,log_loss
hist_gradient_boosting,test,0.575337448990269,0.5725251719669026,0.5999791057250313,0.5859307248890476,0.5752987123678605,0.5506183190106896,0.6074278461402407,0.5963570847435395,0.6749980467183307
logistic_regression,test,0.576436120121377,0.5789811643835616,0.5651901379022148,0.5720025375343625,0.5764537987771396,0.5877174596520646,0.6014578358844844,0.5826249206115237,0.6813631329800645
mlp_classifier,test,0.5677862648669387,0.5673103259380992,0.5770302270511213,0.5721289966162558,0.5677717333816356,0.5585132397121498,0.5966863620961745,0.587113779804302,0.6791026925424752
random_forest,test,0.5623452268843082,0.563736882879076,0.5574940799554255,0.5605981020415309,0.5623528528750787,0.567211625794732,0.5911248312908584,0.5817237965519698,0.6825191269059347
dummy_majority,test,0.5007847650936487,0.5007847650936487,1.0,0.6673638708777802,0.5,0.0,0.5,0.5007847650936487,6.896913849315971
random_forest,train,0.6719859390226924,0.6783882657164849,0.6724446844807928,0.6754033994041572,0.6719789650640733,0.6715132456473539,0.7558867080235429,0.7673687833310631,0.6542140115103544
hist_gradient_boosting,train,0.5996536962272031,0.6001838758756478,0.6323929052113606,0.6158675560824518,0.5991559869100961,0.5659190686088316,0.6408547041927082,0.6383477995673807,0.6639229046070629
mlp_classifier,train,0.5849749408325212,0.5899278140259124,0.5976047801524231,0.5937414826928318,0.5847829389821979,0.5719610978119728,0.619153240258644,0.6153530412572628,0.6703948335493853
logistic_regression,train,0.5785709313657246,0.5864818781970008,0.5749984997728227,0.5806834217839612,0.5786252403286984,0.5822519808845743,0.6060216322367443,0.597849139984697,0.6795249871510116
dummy_majority,train,0.5074872963942643,0.5074872963942643,1.0,0.6732889857289217,0.5,0.0,0.5,0.5074872963942643,6.804314964069958
