feature,dtype,feature_group,is_shift_feature,n_missing,pct_missing
depth1_early_mean,float64,book,False,0,0.0
depth1_late_mean,float64,book,False,0,0.0
depth1_mean,float64,book,False,0,0.0
depth1_shift,float64,book,True,0,0.0
depth1_std,float64,book,False,0,0.0
depth2_mean,float64,book,False,0,0.0
imbalance1_early_mean,float64,book,False,0,0.0
imbalance1_late_mean,float64,book,False,0,0.0
imbalance1_mean,float64,book,False,0,0.0
imbalance1_shift,float64,book,True,0,0.0
imbalance1_std,float64,book,False,0,0.0
mid_early_mean,float32,book,False,0,0.0
mid_late_mean,float32,book,False,0,0.0
mid_max,float32,book,False,0,0.0
mid_mean,float32,book,False,0,0.0
mid_min,float32,book,False,0,0.0
mid_shift,float32,book,True,0,0.0
mid_std,float32,book,False,0,0.0
n_book_seconds,int64,book,False,0,0.0
n_book_updates,int64,book,False,0,0.0
obs_mid_range,float32,book,False,0,0.0
obs_mid_return,float32,book,False,0,0.0
obs_vol_proxy,float32,book,False,0,0.0
rel_spread1_early_mean,float32,book,False,0,0.0
rel_spread1_late_mean,float32,book,False,0,0.0
rel_spread1_mean,float32,book,False,0,0.0
rel_spread1_shift,float32,book,True,0,0.0
spread1_early_mean,float32,book,False,0,0.0
spread1_last,float32,book,False,0,0.0
spread1_late_mean,float32,book,False,0,0.0
spread1_mean,float32,book,False,0,0.0
spread1_shift,float32,book,True,0,0.0
spread1_std,float32,book,False,0,0.0
spread2_mean,float32,book,False,0,0.0
wap1_mean,float64,book,False,0,0.0
wap1_std,float64,book,False,0,0.0
stock_id,int64,stock_id,False,0,0.0
dollar_volume,float64,trade,False,0,0.0
dollar_volume_early,float64,trade,False,0,0.0
dollar_volume_late,float64,trade,False,0,0.0
last_trade_price,float32,trade,False,0,0.0
mean_trade_price,float32,trade,False,0,0.0
mean_trade_size,float64,trade,False,0,0.0
mean_trade_size_early,float64,trade,False,0,0.0
mean_trade_size_late,float64,trade,False,0,0.0
mean_trade_size_shift,float64,trade,True,0,0.0
n_trade_seconds,float64,trade,False,0,0.0
std_trade_price,float32,trade,False,0,0.0
std_trade_size,float64,trade,False,0,0.0
total_order_count,float64,trade,False,0,0.0
total_volume,float64,trade,False,0,0.0
total_volume_early,float64,trade,False,0,0.0
total_volume_late,float64,trade,False,0,0.0
trade_count,float64,trade,False,0,0.0
trade_count_early,float64,trade,False,0,0.0
trade_count_late,float64,trade,False,0,0.0
trade_count_shift,float64,trade,True,0,0.0
volume_per_trade,float64,trade,False,0,0.0
volume_shift,float64,trade,True,0,0.0
