model,split,future_start,future_width,n_train,n_test,n_features,accuracy,precision,recall,f1,balanced_accuracy,specificity,roc_auc,average_precision,log_loss
logistic_regression,test,300,10,224756,56116,59,0.8069712737900064,0.8041555827162269,0.8060099445125027,0.8050816958180379,0.8069609697176434,0.807911994922784,0.8709876204062411,0.8553166389335363,0.47800030005649213
logistic_regression,test,300,15,227933,56957,59,0.7936337939147076,0.7910981962507531,0.7921087180215023,0.7916031346406156,0.7936181318612412,0.7951275457009801,0.8584772995406224,0.8413249463266834,0.4971452072695133
logistic_regression,test,300,20,229012,57288,59,0.7806870548806033,0.776543383490367,0.7806050325134295,0.7785689108212901,0.7806860703406,0.7807671081677704,0.8461244839128894,0.8278622772179459,0.5135500432734164
logistic_regression,test,300,25,229472,57286,59,0.7715497678315819,0.7673215040135192,0.7708768082622998,0.7690950473737143,0.771541185642886,0.7722055630234722,0.835981751498284,0.8168320355287693,0.5267347751872363
logistic_regression,test,300,30,229691,57510,59,0.7616762302208312,0.7573606914482468,0.7601918465227818,0.7587736280756099,0.7616559150292443,0.763119983535707,0.8265787174141903,0.8060891901755655,0.5381625749383387
logistic_regression,test,330,10,224754,56182,59,0.6931223523548468,0.6895608351331893,0.6897346343571095,0.6896477237952946,0.6930844314733204,0.6964342285895315,0.7487438139616975,0.7235098166879366,0.6130447568564659
logistic_regression,test,330,15,227944,56948,59,0.6882770246540704,0.6857741179811173,0.6846562721474132,0.6852147391566479,0.6882450115958453,0.6918337510442774,0.7440825738454333,0.7202497366290974,0.6163574600249412
logistic_regression,test,330,20,229035,57309,59,0.6841857299900539,0.6809597632302163,0.6812237848507279,0.6810917484538263,0.6841567123852783,0.6870896399198286,0.7392083087435037,0.7151172959087706,0.6195955482009888
logistic_regression,test,330,25,229465,57441,59,0.682108598387911,0.6788577859051906,0.6789532920652785,0.6789055356263628,0.6820772182688418,0.6852011444724051,0.7361688884009819,0.7121603687049968,0.6212949626445254
logistic_regression,test,330,30,229666,57475,59,0.6793736407133536,0.6756158414449872,0.6764240227984378,0.6760196905766526,0.6793417098709249,0.6822593969434119,0.7334979732653444,0.7097644299293594,0.6233120477099138
logistic_regression,test,360,10,224792,56214,59,0.6498914861066638,0.646021182195506,0.6484574219732069,0.6472370095535123,0.6498781417433621,0.6512988615135173,0.6966882993794543,0.6715688320211521,0.6444573701191892
logistic_regression,test,360,15,227958,56981,59,0.6482862708622172,0.64422160234455,0.6467564693371145,0.6454865472041889,0.6482713562145584,0.6497862430920024,0.6954113211525189,0.6705296635498916,0.6452368353486327
logistic_regression,test,360,20,229051,57303,59,0.6467898713854423,0.642023346303502,0.6461912994390149,0.6441005802707931,0.6467834950233748,0.6473756906077348,0.6933428245702847,0.6681644297926385,0.6461168191656841
logistic_regression,test,360,25,229493,57421,59,0.6446770345344038,0.6398472801148902,0.643476116669015,0.6416565677854471,0.6446636946793565,0.6458512726896979,0.691269935037846,0.666005346755113,0.6470608157177652
logistic_regression,test,360,30,229672,57418,59,0.6440837368072729,0.6384386486959566,0.643393896630799,0.6409066947812335,0.6440750998649472,0.6447563030990954,0.6895754621897299,0.6640234862356544,0.6478134983057438
logistic_regression,test,420,10,224633,56059,59,0.6111953477586115,0.6093337142040991,0.6112106017191977,0.6102707148732254,0.611195407117817,0.6111802125164363,0.6482181515299967,0.6270272122237471,0.6663534178291681
logistic_regression,test,420,15,227841,56867,59,0.6111277190637804,0.6087998027266002,0.6108656463186173,0.6098309749814743,0.6111264121850646,0.6113871780515118,0.6472599704467207,0.6249890471022616,0.6668917914000072
