feature,feature_group,is_shift_feature,dtype,n_missing,pct_missing
depth1_early_mean,book,False,float64,0,0.0
depth1_late_mean,book,False,float64,0,0.0
depth1_mean,book,False,float64,0,0.0
depth1_shift,book,True,float64,0,0.0
depth1_std,book,False,float64,0,0.0
depth2_mean,book,False,float64,0,0.0
imbalance1_early_mean,book,False,float64,0,0.0
imbalance1_late_mean,book,False,float64,0,0.0
imbalance1_mean,book,False,float64,0,0.0
imbalance1_shift,book,True,float64,0,0.0
imbalance1_std,book,False,float64,0,0.0
mid_early_mean,book,False,float32,0,0.0
mid_late_mean,book,False,float32,0,0.0
mid_max,book,False,float32,0,0.0
mid_mean,book,False,float32,0,0.0
mid_min,book,False,float32,0,0.0
mid_shift,book,True,float32,0,0.0
mid_std,book,False,float32,0,0.0
n_book_seconds,book,False,int64,0,0.0
n_book_updates,book,False,int64,0,0.0
obs_mid_range,book,False,float32,0,0.0
obs_mid_return,book,False,float32,0,0.0
obs_vol_proxy,book,False,float32,0,0.0
rel_spread1_early_mean,book,False,float32,0,0.0
rel_spread1_late_mean,book,False,float32,0,0.0
rel_spread1_mean,book,False,float32,0,0.0
rel_spread1_shift,book,True,float32,0,0.0
spread1_early_mean,book,False,float32,0,0.0
spread1_last,book,False,float32,0,0.0
spread1_late_mean,book,False,float32,0,0.0
spread1_mean,book,False,float32,0,0.0
spread1_shift,book,True,float32,0,0.0
spread1_std,book,False,float32,0,0.0
spread2_mean,book,False,float32,0,0.0
wap1_mean,book,False,float64,0,0.0
wap1_std,book,False,float64,0,0.0
stock_id,stock_id,False,int64,0,0.0
dollar_volume,trade,False,float64,0,0.0
dollar_volume_early,trade,False,float64,0,0.0
dollar_volume_late,trade,False,float64,0,0.0
last_trade_price,trade,False,float32,0,0.0
mean_trade_price,trade,False,float32,0,0.0
mean_trade_size,trade,False,float64,0,0.0
mean_trade_size_early,trade,False,float64,0,0.0
mean_trade_size_late,trade,False,float64,0,0.0
mean_trade_size_shift,trade,True,float64,0,0.0
n_trade_seconds,trade,False,float64,0,0.0
std_trade_price,trade,False,float32,0,0.0
std_trade_size,trade,False,float64,0,0.0
total_order_count,trade,False,float64,0,0.0
total_volume,trade,False,float64,0,0.0
total_volume_early,trade,False,float64,0,0.0
total_volume_late,trade,False,float64,0,0.0
trade_count,trade,False,float64,0,0.0
trade_count_early,trade,False,float64,0,0.0
trade_count_late,trade,False,float64,0,0.0
trade_count_shift,trade,True,float64,0,0.0
volume_per_trade,trade,False,float64,0,0.0
volume_shift,trade,True,float64,0,0.0
