feature_1,feature_2,abs_correlation
trade_count,n_trade_seconds,1.0
mean_trade_size,volume_per_trade,1.0
n_book_updates,n_book_seconds,1.0
total_volume_early,dollar_volume_early,0.9999570777006161
total_volume,dollar_volume,0.9999511802996746
spread1_early_mean,rel_spread1_early_mean,0.9999432487902208
total_volume_late,dollar_volume_late,0.9999394500526592
spread1_mean,rel_spread1_mean,0.9999359205695701
spread1_late_mean,rel_spread1_late_mean,0.9999213996030687
mid_std,obs_vol_proxy,0.999880688814219
spread1_shift,rel_spread1_shift,0.9998536998464573
mid_mean,wap1_mean,0.999150861153708
mean_trade_price,last_trade_price,0.997735102612286
depth1_mean,depth1_late_mean,0.9953399026453522
depth1_mean,depth1_early_mean,0.9952993668633338
mid_std,wap1_std,0.9925088889466464
wap1_std,obs_vol_proxy,0.9923631157638817
rel_spread1_mean,rel_spread1_early_mean,0.9850054335811317
spread1_mean,spread1_early_mean,0.9849978210715291
spread1_mean,rel_spread1_early_mean,0.9849529180754942
rel_spread1_mean,spread1_early_mean,0.9849350433148608
mid_std,std_trade_price,0.9837161995508071
obs_vol_proxy,std_trade_price,0.9836895031794786
n_trade_seconds,trade_count_early,0.9836045890902372
trade_count,trade_count_early,0.9836045890902372
trade_count,trade_count_late,0.9829622755823413
n_trade_seconds,trade_count_late,0.9829622755823413
rel_spread1_mean,rel_spread1_late_mean,0.9816953556328136
spread1_mean,spread1_late_mean,0.9816816455813808
spread1_mean,rel_spread1_late_mean,0.9816254236475517
rel_spread1_mean,spread1_late_mean,0.9816147251466496
depth1_early_mean,depth1_late_mean,0.9814266964460858
wap1_std,std_trade_price,0.9797426579515509
mid_std,obs_mid_range,0.9772405904226974
obs_mid_range,obs_vol_proxy,0.9771803116697729
mid_mean,mid_late_mean,0.976918502661606
wap1_mean,mid_late_mean,0.9767501498362056
obs_mid_range,std_trade_price,0.9708831858773723
wap1_std,obs_mid_range,0.9705375451820785
mid_mean,mid_early_mean,0.9650663575116136
wap1_mean,mid_early_mean,0.9634176802042581
spread1_mean,spread2_mean,0.9614792433483212
spread2_mean,rel_spread1_mean,0.9614627886773339
total_volume,total_volume_early,0.9593831403182769
dollar_volume,dollar_volume_early,0.9593741349567466
dollar_volume,total_volume_early,0.9593670415995744
total_volume,dollar_volume_early,0.9593051428651975
total_volume,total_volume_late,0.9511552247790107
dollar_volume,dollar_volume_late,0.951144729058782
total_volume,dollar_volume_late,0.9511225397042256
dollar_volume,total_volume_late,0.9510751525438679
