feature,importance
num__obs_mid_return,0.2675630170832861
num__last_trade_price,0.21999704740419196
num__mid_late_mean,0.057889192681374525
num__mid_shift,0.05094501267406768
num__wap1_mean,0.02716313688629405
num__mid_mean,0.026768630630700944
num__mean_trade_price,0.024957044755746758
num__mid_min,0.018740243827479873
num__mid_max,0.01768194484457535
num__mid_early_mean,0.017321930753451564
num__mid_std,0.014790964926015133
num__obs_vol_proxy,0.014399552842140874
num__wap1_std,0.012207406075860289
num__imbalance1_shift,0.01131307822274143
num__std_trade_price,0.011220947610759069
num__obs_mid_range,0.011196879421369077
num__imbalance1_late_mean,0.011081614192719956
num__imbalance1_mean,0.006918993940776958
num__imbalance1_early_mean,0.0057394858487673835
num__volume_shift,0.005444502333841665
num__spread1_last,0.00528861203595255
num__mean_trade_size_shift,0.005187248182091185
num__spread1_std,0.005064666775594054
num__spread2_mean,0.0050181844779080675
num__imbalance1_std,0.004939394800686456
num__mean_trade_size_late,0.004882499923008571
num__depth1_shift,0.004714747336463866
num__spread1_shift,0.004691651606057281
num__rel_spread1_shift,0.004681115096164241
num__dollar_volume_late,0.00461407699165282
num__total_volume_late,0.004551016804845863
num__rel_spread1_late_mean,0.004548116776127294
num__spread1_early_mean,0.004505506964241341
num__rel_spread1_mean,0.004493427942078717
num__spread1_late_mean,0.004487766677716274
num__std_trade_size,0.004478088200081532
num__rel_spread1_early_mean,0.00446498024179956
num__depth1_std,0.004459375613011402
num__depth1_late_mean,0.0044238418547932045
num__spread1_mean,0.004387321845728894
num__depth2_mean,0.004375174955631455
num__depth1_early_mean,0.004305092724042431
num__mean_trade_size_early,0.004284889093633559
num__total_order_count,0.004252208944416566
num__total_volume_early,0.004242558991801479
num__dollar_volume_early,0.004222181314912098
num__depth1_mean,0.004188057871859979
num__dollar_volume,0.004173685184489511
num__mean_trade_size,0.004170494999305572
num__total_volume,0.004153208861405306
num__volume_per_trade,0.004112888145190243
num__n_book_seconds,0.003816619439433655
num__n_book_updates,0.0037564395937840383
num__trade_count_shift,0.0037013993216988687
num__trade_count,0.0034679142517366206
num__n_trade_seconds,0.003377301632793903
num__trade_count_late,0.0032935736061777223
num__trade_count_early,0.0031414741145314715
cat__stock_id_124,3.7263107848372315e-05
cat__stock_id_87,3.274614298852148e-05
cat__stock_id_63,2.971769555991243e-05
cat__stock_id_81,2.67912902776653e-05
cat__stock_id_83,2.5906289086795615e-05
cat__stock_id_122,2.384264126924002e-05
cat__stock_id_80,2.308517825548129e-05
cat__stock_id_73,2.2329958037145308e-05
cat__stock_id_3,2.1764931686353796e-05
cat__stock_id_89,2.15779158899864e-05
cat__stock_id_108,2.1566843680363995e-05
cat__stock_id_96,2.106658076174361e-05
cat__stock_id_126,2.0878110209655318e-05
cat__stock_id_46,2.0351518229235934e-05
cat__stock_id_14,2.0187122016885404e-05
cat__stock_id_119,1.9971864792186957e-05
cat__stock_id_27,1.9823880050220103e-05
cat__stock_id_62,1.971499699094914e-05
cat__stock_id_78,1.9689353541428704e-05
cat__stock_id_9,1.947960535734889e-05
cat__stock_id_67,1.9209004813642857e-05
cat__stock_id_97,1.90687096295017e-05
cat__stock_id_58,1.8739738785047385e-05
cat__stock_id_36,1.872062014477695e-05
cat__stock_id_32,1.8664360817006006e-05
cat__stock_id_18,1.8623122897932446e-05
cat__stock_id_69,1.8534459093474153e-05
cat__stock_id_101,1.8181437110190953e-05
cat__stock_id_39,1.8013938032519036e-05
cat__stock_id_1,1.7900413350383172e-05
cat__stock_id_74,1.7683238790648608e-05
cat__stock_id_7,1.7670630577791492e-05
cat__stock_id_44,1.761801241617577e-05
cat__stock_id_109,1.7594034404459612e-05
cat__stock_id_125,1.756214344621275e-05
cat__stock_id_114,1.725191272784686e-05
cat__stock_id_17,1.7240611117518556e-05
cat__stock_id_15,1.7220847931287106e-05
cat__stock_id_100,1.7111433074112896e-05
cat__stock_id_37,1.7097543350902258e-05
cat__stock_id_105,1.7006416989879152e-05
cat__stock_id_22,1.6720078775373705e-05
cat__stock_id_82,1.6683494349816697e-05
cat__stock_id_56,1.6476870698630907e-05
cat__stock_id_8,1.6465254815926757e-05
cat__stock_id_94,1.633146464674417e-05
cat__stock_id_111,1.6199683797414713e-05
